sample_index,sample_name,sample_code,sample_group,group_real,batch_date,Processing_order,Code_pheno
1,2025017_10_AT_YNG,10,YNG,10H,20250506,5,10H_1
2,2025017_11_AT_YNG,11,YNG,SEN,20250506,6,SEN_1
3,2025017_12_AT_FLOR,12,FLOR,14H,20250506,7,14H_1
4,2025017_13_AT_YNG,13,YNG,BOT,20250506,8,BOT_1
5,2025017_14_AT_FLOR,14,FLOR,BOT,20250506,9,BOT_2
6,2025017_15_AT_FLOR,15,FLOR,BOT,20250506,10,BOT_3
7,2025017_16_AT_FLOR,16,FLOR,BOT,20250506,11,BOT_4
8,2025017_17_AT_SEN,17,SEN,BOT,20250506,12,BOT_5
9,2025017_18_AT_FLOR,18,FLOR,14H,20250506,13,14H_2
10,2025017_19_AT_SEN,19,SEN,14H,20250506,14,14H_3
11,2025017_1_AT_YNG,1,YNG,YNG,NA,NA,NA
12,2025017_20_AT_FLOR,20,FLOR,FLOR,20250506,16,FLOR_1
13,2025017_21_AT_BOT,21,BOT,10H,20250506,17,10H_2
14,2025017_22_AT_BOT,22,BOT,FLOR,20250506,18,FLOR_2
15,2025017_23_AT_SEN,23,SEN,SEN,NA,NA,NA
16,2025017_24_AT_FLOR,24,FLOR,FLOR,20250507,1,FLOR_7
17,2025017_25_AT_BOT,25,BOT,SEN,20250507,2,SEN_2
18,2025017_26_AT_SEN,26,SEN,FLOR,20250507,3,FLOR_9
19,2025017_27_AT_SEN,27,SEN,SEN,20250507,4,SEN_4
20,2025017_28_AT_BOT,28,BOT,FLOR,20250507,5,FLOR_4
21,2025017_29_AT_BOT,29,BOT,BOT,20250507,6,BOT_6
22,2025017_2_AT_SEN,2,SEN,BOT,20250507,7,BOT_10
23,2025017_30_AT_FLOR,30,FLOR,SEN,20250507,8,SEN_8
24,2025017_31_AT_BOT,31,BOT,FLOR,20250507,9,FLOR_6
25,2025017_32_AT_FLOR,32,FLOR,BOT,20250507,10,BOT_8
26,2025017_33_AT_SEN,33,SEN,SEN,20250507,11,SEN_3
27,2025017_34_AT_SEN,34,SEN,SEN,20250507,12,SEN_6
28,2025017_3_AT_SEN,3,SEN,BOT,20250507,13,BOT_7
29,2025017_4_AT_BOT,4,BOT,BOT,20250507,14,BOT_9
30,2025017_5_AT_BOT,5,BOT,FLOR,20250507,15,FLOR_5
31,2025017_6_AT_BOT,6,BOT,BOT,20250507,16,BOT_11
32,2025017_7_AT_BOT,7,BOT,FLOR,20250507,17,FLOR_8
33,2025017_8_AT_BOT,8,BOT,SEN,20250507,18,SEN_5
34,2025017_9_AT_YNG,9,YNG,SEN,20250507,19,SEN_7
