Sample_Name	Sample_Group	Batch	Date	Processing_order	Code
1,20250506-05-2025017-1	10H	A	20250506	5	10H_1
13,20250506-17-2025017-13	10H	A	20250506	17	10H_2
3,20250506-07-2025017-3	14H	A	20250506	7	14H_1
9,20250506-13-2025017-9	14H	A	20250506	13	14H_2
10,20250506-14-2025017-10	14H	A	20250506	14	14H_3
2,20250506-06-2025017-2	SEN	A	20250506	6	SEN_1
17,20250507-02-2025017-ATSEN1	SEN	A	20250507	2	SEN_2
26,20250507-11-2025017-ATSEN2	SEN	A	20250507	11	SEN_3
19,20250507-04-2025017-ATSEN3	SEN	A	20250507	4	SEN_4
33,20250507-18-2025017-ATSEN4	SEN	A	20250507	18	SEN_5
27,20250507-12-2025017-ATSEN5	SEN	A	20250507	12	SEN_6
34,20250507-19-2025017-ATSEN6	SEN	A	20250507	19	SEN_7
23,20250507-08-2025017-ATSEN7	SEN	A	20250507	8	SEN_8
4,20250506-08-2025017-4	BOT	A	20250506	8	BOT_1
5,20250506-09-2025017-5	BOT	A	20250506	9	BOT_2
6,20250506-10-2025017-6	BOT	A	20250506	10	BOT_3
7,20250506-11-2025017-7	BOT	A	20250506	11	BOT_4
8,20250506-12-2025017-8	BOT	A	20250506	12	BOT_5
21,20250507-06-2025017-ATBOTON2	BOT	A	20250507	6	BOT_6
28,20250507-13-2025017-ATBOTON3	BOT	A	20250507	13	BOT_7
25,20250507-10-2025017-ATBOTON4	BOT	A	20250507	10	BOT_8
29,20250507-14-2025017-ATBOTON6	BOT	A	20250507	14	BOT_9
22,20250507-07-2025017-ATBOTON7	BOT	A	20250507	7	BOT_10
31,20250507-16-2025017-ATBOTON8	BOT	A	20250507	16	BOT_11
12,20250506-16-2025017-12	FLOR	A	20250506	16	FLOR_1
14,20250506-18-2025017-14	FLOR	A	20250506	18	FLOR_2
20,20250507-05-2025017-ATFLOR2	FLOR	A	20250507	5	FLOR_4
30,20250507-15-2025017-ATFLOR3	FLOR	A	20250507	15	FLOR_5
24,20250507-09-2025017-ATFLOR4	FLOR	A	20250507	9	FLOR_6
16,20250507-01-2025018-ATFLOR5	FLOR	A	20250507	1	FLOR_7
32,20250507-17-2025017-ATFLOR6	FLOR	A	20250507	17	FLOR_8
18,20250507-03-2025017-ATFLOR7	FLOR	A	20250507	3	FLOR_9
