Sample_Name	Sample_Group	Batch	Date	Processing_order	Code
20250506-05-2025017-ATYNG1	YNG	A	20250506	5	YNG_1
20250506-17-2025017-ATYNG2	YNG	A	20250506	17	YNG_2
20250506-07-2025017-ATYNG3	YNG	A	20250506	7	YNG_3
20250506-13-2025017-ATYNG4	YNG	A	20250506	13	YNG_4
20250506-14-2025017-ATYNG5	YNG	A	20250506	14	YNG_5
20250506-06-2025017-ATSEN1	SEN	A	20250506	6	SEN_1
20250507-02-2025017-ATSEN2	SEN	B	20250507	2	SEN_2
20250507-11-2025017-ATSEN3	SEN	B	20250507	11	SEN_3
20250507-04-2025017-ATSEN4	SEN	B	20250507	4	SEN_4
20250507-18-2025017-ATSEN5	SEN	B	20250507	18	SEN_5
20250507-12-2025017-ATSEN6	SEN	B	20250507	12	SEN_6
20250507-19-2025017-ATSEN7	SEN	B	20250507	19	SEN_7
20250507-08-2025017-ATSEN8	SEN	B	20250507	8	SEN_8
20250506-08-2025017-ATBOT1	BOT	A	20250506	8	BOT_1
20250506-09-2025017-ATBOT2	BOT	A	20250506	9	BOT_2
20250506-10-2025017-ATBOT3	BOT	A	20250506	10	BOT_3
20250506-11-2025017-ATBOT4	BOT	A	20250506	11	BOT_4
20250506-12-2025017-ATBOT5	BOT	A	20250506	12	BOT_5
20250507-06-2025017-ATBOT6	BOT	B	20250507	6	BOT_6
20250507-13-2025017-ATBOT7	BOT	B	20250507	13	BOT_7
20250507-10-2025017-ATBOT8	BOT	B	20250507	10	BOT_8
20250507-14-2025017-ATBOT9	BOT	B	20250507	14	BOT_9
20250507-07-2025017-ATBOT10	BOT	B	20250507	7	BOT_10
20250507-16-2025017-ATBOT11	BOT	B	20250507	16	BOT_11
20250506-16-2025017-ATFLOR1	FLOR	A	20250506	16	FLOR_1
20250506-18-2025017-ATFLOR2	FLOR	A	20250506	18	FLOR_2
20250507-05-2025017-ATFLOR4	FLOR	B	20250507	5	FLOR_4
20250507-15-2025017-ATFLOR5	FLOR	B	20250507	15	FLOR_5
20250507-09-2025017-ATFLOR6	FLOR	B	20250507	9	FLOR_6
20250507-01-2025018-ATFLOR7	FLOR	B	20250507	1	FLOR_7
20250507-17-2025017-ATFLOR8	FLOR	B	20250507	17	FLOR_8
20250507-03-2025017-ATFLOR9	FLOR	B	20250507	3	FLOR_9
